BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,DESCRIPTION,YTD,AMOUNT
C000984,HON. ELIJAH E. CUMMINGS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38643.51,9427.23
C000984,HON. ELIJAH E. CUMMINGS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,29120.56,2805.87
C000984,HON. ELIJAH E. CUMMINGS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2652,762
C000984,HON. ELIJAH E. CUMMINGS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1198581.12,311810.01
C000984,HON. ELIJAH E. CUMMINGS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1198581.12,311810.01
C001107,HON. CARLOS CURBELO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,45099.19,3139.19
C001107,HON. CARLOS CURBELO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,910257.35,275700.02
C001107,HON. CARLOS CURBELO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,39550.14,11776.67
C001107,HON. CARLOS CURBELO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,104864.15,25039.72
C001107,HON. CARLOS CURBELO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,27480.03,861.91
C001107,HON. CARLOS CURBELO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,24887.64,5355
C001107,HON. CARLOS CURBELO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17033.85,1400.72
C001107,HON. CARLOS CURBELO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,16507.74,474.63
C001107,HON. CARLOS CURBELO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1185680.09,323747.86
C001107,HON. CARLOS CURBELO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1185680.09,323747.86
D000626,HON. WARREN DAVIDSON,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,12460.53,685.54
D000626,HON. WARREN DAVIDSON,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,417934.44,230690
D000626,HON. WARREN DAVIDSON,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15394.86,5608.11
D000626,HON. WARREN DAVIDSON,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,43301.5,19064.35
D000626,HON. WARREN DAVIDSON,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,14637.24,2777.12
D000626,HON. WARREN DAVIDSON,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21630.85,10871
D000626,HON. WARREN DAVIDSON,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14854.94,4755.54
D000626,HON. WARREN DAVIDSON,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4411.6,1556.21
D000626,HON. WARREN DAVIDSON,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,544625.96,276007.87
D000626,HON. WARREN DAVIDSON,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,544625.96,276007.87
D000096,HON. DANNY K. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,79.08,0.54
D000096,HON. DANNY K. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1100153.84,282826.23
D000096,HON. DANNY K. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24877.68,6564.94
D000096,HON. DANNY K. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,80266.48,34153.43
D000096,HON. DANNY K. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3185.14,1481.05
D000096,HON. DANNY K. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3646.67,694.57
D000096,HON. DANNY K. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9868.15,1848.89
D000096,HON. DANNY K. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2876.04,968.76
D000096,HON. DANNY K. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1224953.08,328538.41
D000096,HON. DANNY K. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1224953.08,328538.41
D000619,HON. RODNEY DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,63379.52,3860.68
D000619,HON. RODNEY DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,896560.16,257901.89
D000619,HON. RODNEY DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,58817.01,13970.01
D000619,HON. RODNEY DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,81356.9,21189.22
D000619,HON. RODNEY DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,53071.36,5623.76
D000619,HON. RODNEY DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,48984.97,10920
D000619,HON. RODNEY DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13657.11,2969.83
D000619,HON. RODNEY DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4154.71,2444.86
D000619,HON. RODNEY DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1219981.74,318880.25
D000619,HON. RODNEY DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1219981.74,318880.25
D000598,HON. SUSAN A. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,35797.93,434.84
D000598,HON. SUSAN A. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,974590.19,266141.88
D000598,HON. SUSAN A. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,34754.07,6620.55
D000598,HON. SUSAN A. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,1450,950
D000598,HON. SUSAN A. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,94413.95,23602.59
D000598,HON. SUSAN A. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,46827.47,27912.26
D000598,HON. SUSAN A. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,36573.66,13748.81
D000598,HON. SUSAN A. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,32417.13,4819.98
D000598,HON. SUSAN A. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1540,613
D000598,HON. SUSAN A. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1258364.4,344843.91
D000598,HON. SUSAN A. DAVIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1258364.4,344843.91
D000191,HON. PETER A. DEFAZIO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,44250.67,841.39
D000191,HON. PETER A. DEFAZIO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,987004.61,289208.91
D000191,HON. PETER A. DEFAZIO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,49256.25,16753.77
D000191,HON. PETER A. DEFAZIO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,81142.48,20486.92
D000191,HON. PETER A. DEFAZIO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,45738.42,72.9
D000191,HON. PETER A. DEFAZIO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23099.93,6094.95
D000191,HON. PETER A. DEFAZIO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,34966.44,27214.53
D000191,HON. PETER A. DEFAZIO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1998.36,499.59
D000191,HON. PETER A. DEFAZIO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1267457.16,361172.96
D000191,HON. PETER A. DEFAZIO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1267457.16,361172.96
D000197,HON. DIANA DEGETTE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1497.71,408.06
D000197,HON. DIANA DEGETTE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1029468.82,300894.45
D000197,HON. DIANA DEGETTE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,43259.17,5375.07
D000197,HON. DIANA DEGETTE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,90607.1,21700.87
D000197,HON. DIANA DEGETTE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3075.79,965.15
D000197,HON. DIANA DEGETTE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21335.64,5808.35
D000197,HON. DIANA DEGETTE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10367.05,2936.1
D000197,HON. DIANA DEGETTE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3331.35,762.3
D000197,HON. DIANA DEGETTE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1202942.63,338850.35
D000197,HON. DIANA DEGETTE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1202942.63,338850.35
D000620,HON. JOHN K. DELANEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,10516.27,592.05
D000620,HON. JOHN K. DELANEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,982685.83,293576.69
D000620,HON. JOHN K. DELANEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15075.49,2904.96
D000620,HON. JOHN K. DELANEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,115489.31,28968.85
D000620,HON. JOHN K. DELANEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,21572.77,605.7
D000620,HON. JOHN K. DELANEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,35954.01,9118.88
D000620,HON. JOHN K. DELANEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,21649.68,2614.25
D000620,HON. JOHN K. DELANEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7016.37,4596.17
D000620,HON. JOHN K. DELANEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1209959.73,342977.55
D000620,HON. JOHN K. DELANEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1209959.73,342977.55
D000216,HON. ROSA L. DELAURO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,964.85,261.03
D000216,HON. ROSA L. DELAURO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1084473.56,306535.36
D000216,HON. ROSA L. DELAURO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,22095.22,3746.64
D000216,HON. ROSA L. DELAURO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,82760.5,21208.41
D000216,HON. ROSA L. DELAURO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1600.02,369.06
D000216,HON. ROSA L. DELAURO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,39024.85,8055
D000216,HON. ROSA L. DELAURO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10280.97,2295.96
D000216,HON. ROSA L. DELAURO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2307.96,576.99
D000216,HON. ROSA L. DELAURO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1243507.93,343048.45
D000216,HON. ROSA L. DELAURO,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1243507.93,343048.45
D000617,HON. SUZAN K. DELBENE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,27158.74,213.21
D000617,HON. SUZAN K. DELBENE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,875422.03,240874.94
D000617,HON. SUZAN K. DELBENE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,78321.35,25006.26
D000617,HON. SUZAN K. DELBENE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,78157.79,20795.36
D000617,HON. SUZAN K. DELBENE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,48517.58,185.86
D000617,HON. SUZAN K. DELBENE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20775,5655
D000617,HON. SUZAN K. DELBENE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,24292.46,18880.01
D000617,HON. SUZAN K. DELBENE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1168.38,0
D000617,HON. SUZAN K. DELBENE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1153813.33,311610.64
D000617,HON. SUZAN K. DELBENE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1153813.33,311610.64
D000612,HON. JEFF DENHAM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,30164.58,4952.19
D000612,HON. JEFF DENHAM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,943331.53,252312.05
D000612,HON. JEFF DENHAM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,48537.2,10545.43
D000612,HON. JEFF DENHAM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,77726.01,19133.26
D000612,HON. JEFF DENHAM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,40960.02,375.51
D000612,HON. JEFF DENHAM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,43315.91,18290
D000612,HON. JEFF DENHAM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,44608.42,24097.99
D000612,HON. JEFF DENHAM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4773.15,2096.33
D000612,HON. JEFF DENHAM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1233416.82,331802.76
D000612,HON. JEFF DENHAM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1233416.82,331802.76
D000604,HON. CHARLES W. DENT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,34235.06,3880.87
D000604,HON. CHARLES W. DENT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,844938.11,259022.32
D000604,HON. CHARLES W. DENT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24261.32,6762.92
D000604,HON. CHARLES W. DENT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,95945.69,20706.07
D000604,HON. CHARLES W. DENT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,25479.73,22561.45
D000604,HON. CHARLES W. DENT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,26439.5,5915.57
D000604,HON. CHARLES W. DENT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,33296.31,22207.35
D000604,HON. CHARLES W. DENT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1403.64,0
D000604,HON. CHARLES W. DENT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1085999.36,341056.55
D000604,HON. CHARLES W. DENT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1085999.36,341056.55
D000621,HON. RON DESANTIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,14330.19,1642.87
D000621,HON. RON DESANTIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1125759.23,305011.11
D000621,HON. RON DESANTIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,46497.26,9482.73
D000621,HON. RON DESANTIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,50510.19,11579.19
D000621,HON. RON DESANTIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,7809.31,506.74
D000621,HON. RON DESANTIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20735,5655
D000621,HON. RON DESANTIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13745.49,7085.45
D000621,HON. RON DESANTIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2798.8,588
D000621,HON. RON DESANTIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1282185.47,341551.09
D000621,HON. RON DESANTIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1282185.47,341551.09
D000623,HON. MARK DESAULNIER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,48781.95,342.85
D000623,HON. MARK DESAULNIER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,776208.36,203630
D000623,HON. MARK DESAULNIER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,40903.22,10010.72
D000623,HON. MARK DESAULNIER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,86836,24119.5
D000623,HON. MARK DESAULNIER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,92112.74,5946.21
D000623,HON. MARK DESAULNIER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21735,8085
D000623,HON. MARK DESAULNIER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,21227.03,17038.34
D000623,HON. MARK DESAULNIER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7666.23,1165.6
D000623,HON. MARK DESAULNIER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1095470.53,270338.22
D000623,HON. MARK DESAULNIER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1095470.53,270338.22
D000616,HON. SCOTT DESJARLAIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,17604.62,1389.76
D000616,HON. SCOTT DESJARLAIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,682726.38,165749.99
D000616,HON. SCOTT DESJARLAIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,77161.31,14975.07
D000616,HON. SCOTT DESJARLAIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,93807.11,22278.05
D000616,HON. SCOTT DESJARLAIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,117800.15,1734.95
D000616,HON. SCOTT DESJARLAIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,26769.83,5791.65
D000616,HON. SCOTT DESJARLAIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,31222.45,20291.04
D000616,HON. SCOTT DESJARLAIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10307.07,5954.13
D000616,HON. SCOTT DESJARLAIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1057398.92,238164.64
D000616,HON. SCOTT DESJARLAIS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1057398.92,238164.64
D000610,HON. THEODORE E. DEUTCH,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,10264.87,664.66
D000610,HON. THEODORE E. DEUTCH,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1100461.73,301292.76
D000610,HON. THEODORE E. DEUTCH,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,21099.52,3451.31
D000610,HON. THEODORE E. DEUTCH,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,63843.06,16182.09
D000610,HON. THEODORE E. DEUTCH,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,23817.75,364.15
D000610,HON. THEODORE E. DEUTCH,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,26295.49,6080
D000610,HON. THEODORE E. DEUTCH,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16719.39,3359.43
D000610,HON. THEODORE E. DEUTCH,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2719.56,510
D000610,HON. THEODORE E. DEUTCH,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1265221.37,331904.4
D000610,HON. THEODORE E. DEUTCH,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1265221.37,331904.4
D000600,HON. MARIO DIAZ-BALART,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,47810.75,6410.91
D000600,HON. MARIO DIAZ-BALART,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,837538.81,223166.65
D000600,HON. MARIO DIAZ-BALART,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,60226.57,17065.03
D000600,HON. MARIO DIAZ-BALART,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,138193.01,33669.66
D000600,HON. MARIO DIAZ-BALART,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,42645.82,6082.43
D000600,HON. MARIO DIAZ-BALART,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34486.19,10694.34
D000600,HON. MARIO DIAZ-BALART,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,26602.59,20412.75
D000600,HON. MARIO DIAZ-BALART,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5783.69,755.82
D000600,HON. MARIO DIAZ-BALART,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1193287.43,318257.59
D000600,HON. MARIO DIAZ-BALART,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1193287.43,318257.59
D000624,HON. DEBBIE DINGELL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,857.22,-236.02
D000624,HON. DEBBIE DINGELL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,967134.76,299369.85
D000624,HON. DEBBIE DINGELL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,29373.35,5033.55
D000624,HON. DEBBIE DINGELL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,122939.6,31928.92
D000624,HON. DEBBIE DINGELL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1656.08,438.4
D000624,HON. DEBBIE DINGELL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20461.45,5555.98
D000624,HON. DEBBIE DINGELL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11538.03,3507.24
D000624,HON. DEBBIE DINGELL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5731.65,1132.2
D000624,HON. DEBBIE DINGELL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1159692.14,346730.12
D000624,HON. DEBBIE DINGELL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1159692.14,346730.12
D000399,HON. LLOYD DOGGETT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,19552.84,3003.88
D000399,HON. LLOYD DOGGETT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,863877.26,232899.29
