BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT,
C001092,HON. CHRIS COLLINS,2015,2015Q1,OTHER SERVICES,"16,845.00","16,845.00",
C001092,HON. CHRIS COLLINS,2015,2015Q1,SUPPLIES AND MATERIALS,"10,241.31","10,241.31",
C001092,HON. CHRIS COLLINS,2015,2015Q1,EQUIPMENT,496.26,496.26,
C001093,HON. DOUG COLLINS,2015,2015Q1,FRANKED MAIL,"1,667.19","1,667.19",
C001093,HON. DOUG COLLINS,2015,2015Q1,PERSONNEL COMPENSATION,"208,174.52","208,174.52",
C001093,HON. DOUG COLLINS,2015,2015Q1,TRAVEL,"7,173.72","7,173.72",
C001093,HON. DOUG COLLINS,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","18,500.17","18,500.17",
C001093,HON. DOUG COLLINS,2015,2015Q1,PRINTING AND REPRODUCTION,17.8,17.8,
C001093,HON. DOUG COLLINS,2015,2015Q1,OTHER SERVICES,"7,614.00","7,614.00",
C001093,HON. DOUG COLLINS,2015,2015Q1,SUPPLIES AND MATERIALS,"1,796.92","1,796.92",
C001093,HON. DOUG COLLINS,2015,2015Q1,EQUIPMENT,360,360,
C001105,HON. BARBARA COMSTOCK,2015,2015Q1,FRANKED MAIL,105.78,105.78,
C001105,HON. BARBARA COMSTOCK,2015,2015Q1,PERSONNEL COMPENSATION,"182,319.47","182,319.47",
C001105,HON. BARBARA COMSTOCK,2015,2015Q1,TRAVEL,555.4,555.4,
C001105,HON. BARBARA COMSTOCK,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","12,802.04","12,802.04",
C001105,HON. BARBARA COMSTOCK,2015,2015Q1,PRINTING AND REPRODUCTION,"3,339.68","3,339.68",
C001105,HON. BARBARA COMSTOCK,2015,2015Q1,OTHER SERVICES,"10,268.29","10,268.29",
C001105,HON. BARBARA COMSTOCK,2015,2015Q1,SUPPLIES AND MATERIALS,"7,127.09","7,127.09",
C001105,HON. BARBARA COMSTOCK,2015,2015Q1,EQUIPMENT,"4,667.93","4,667.93",
C001062,HON. K. MICHAEL CONAWAY,2015,2015Q1,FRANKED MAIL,"3,637.99","3,637.99",
C001062,HON. K. MICHAEL CONAWAY,2015,2015Q1,PERSONNEL COMPENSATION,"207,764.60","207,764.60",
C001062,HON. K. MICHAEL CONAWAY,2015,2015Q1,TRAVEL,"18,612.14","18,612.14",
C001062,HON. K. MICHAEL CONAWAY,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","27,567.54","27,567.54",
C001062,HON. K. MICHAEL CONAWAY,2015,2015Q1,PRINTING AND REPRODUCTION,868.75,868.75,
C001062,HON. K. MICHAEL CONAWAY,2015,2015Q1,OTHER SERVICES,"6,303.64","6,303.64",
C001062,HON. K. MICHAEL CONAWAY,2015,2015Q1,SUPPLIES AND MATERIALS,"3,182.60","3,182.60",
C001062,HON. K. MICHAEL CONAWAY,2015,2015Q1,EQUIPMENT,505.53,505.53,
C001078,HON. GERALD E. GERRY CONNOLLY,2015,2015Q1,FRANKED MAIL,230.01,230.01,
C001078,HON. GERALD E. GERRY CONNOLLY,2015,2015Q1,PERSONNEL COMPENSATION,"211,783.43","211,783.43",
C001078,HON. GERALD E. GERRY CONNOLLY,2015,2015Q1,TRAVEL,"1,125.91","1,125.91",
C001078,HON. GERALD E. GERRY CONNOLLY,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","22,165.62","22,165.62",
C001078,HON. GERALD E. GERRY CONNOLLY,2015,2015Q1,PRINTING AND REPRODUCTION,737.6,737.6,
C001078,HON. GERALD E. GERRY CONNOLLY,2015,2015Q1,OTHER SERVICES,"8,205.00","8,205.00",
C001078,HON. GERALD E. GERRY CONNOLLY,2015,2015Q1,SUPPLIES AND MATERIALS,"1,945.31","1,945.31",
C001078,HON. GERALD E. GERRY CONNOLLY,2015,2015Q1,EQUIPMENT,212.49,212.49,
C000714,HON. JOHN CONYERS,JR.,2015,2015Q1,FRANKED MAIL,56.02,56.02
C000714,HON. JOHN CONYERS,JR.,2015,2015Q1,PERSONNEL COMPENSATION,"225,544.62","225,544.62"
C000714,HON. JOHN CONYERS,JR.,2015,2015Q1,TRAVEL,"8,591.16","8,591.16"
C000714,HON. JOHN CONYERS,JR.,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","29,151.21","29,151.21"
C000714,HON. JOHN CONYERS,JR.,2015,2015Q1,PRINTING AND REPRODUCTION,548.5,548.5
C000714,HON. JOHN CONYERS,JR.,2015,2015Q1,OTHER SERVICES,"16,416.29","16,416.29"
C000714,HON. JOHN CONYERS,JR.,2015,2015Q1,SUPPLIES AND MATERIALS,"6,361.99","6,361.99"
C000714,HON. JOHN CONYERS,JR.,2015,2015Q1,EQUIPMENT,"1,777.20","1,777.20"
C001094,HON. PAUL COOK,2015,2015Q1,FRANKED MAIL,"1,353.72","1,353.72",
C001094,HON. PAUL COOK,2015,2015Q1,PERSONNEL COMPENSATION,"203,941.68","203,941.68",
C001094,HON. PAUL COOK,2015,2015Q1,TRAVEL,"20,040.90","20,040.90",
C001094,HON. PAUL COOK,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","8,237.59","8,237.59",
C001094,HON. PAUL COOK,2015,2015Q1,PRINTING AND REPRODUCTION,"2,863.55","2,863.55",
C001094,HON. PAUL COOK,2015,2015Q1,OTHER SERVICES,"6,035.00","6,035.00",
C001094,HON. PAUL COOK,2015,2015Q1,SUPPLIES AND MATERIALS,"2,797.30","2,797.30",
C001094,HON. PAUL COOK,2015,2015Q1,EQUIPMENT,240,240,
C000754,HON. JIM COOPER,2015,2015Q1,FRANKED MAIL,320.86,320.86,
C000754,HON. JIM COOPER,2015,2015Q1,PERSONNEL COMPENSATION,"222,831.18","222,831.18",
C000754,HON. JIM COOPER,2015,2015Q1,TRAVEL,"11,613.75","11,613.75",
C000754,HON. JIM COOPER,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","20,451.55","20,451.55",
C000754,HON. JIM COOPER,2015,2015Q1,PRINTING AND REPRODUCTION,106.16,106.16,
C000754,HON. JIM COOPER,2015,2015Q1,OTHER SERVICES,"12,062.47","12,062.47",
C000754,HON. JIM COOPER,2015,2015Q1,SUPPLIES AND MATERIALS,"3,593.25","3,593.25",
C000754,HON. JIM COOPER,2015,2015Q1,EQUIPMENT,705,705,
C001059,HON. JIM COSTA,2015,2015Q1,FRANKED MAIL,-79.74,-79.74,
C001059,HON. JIM COSTA,2015,2015Q1,PERSONNEL COMPENSATION,"220,095.88","220,095.88",
C001059,HON. JIM COSTA,2015,2015Q1,TRAVEL,"7,874.28","7,874.28",
C001059,HON. JIM COSTA,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","28,603.58","28,603.58",
C001059,HON. JIM COSTA,2015,2015Q1,PRINTING AND REPRODUCTION,"1,427.60","1,427.60",
C001059,HON. JIM COSTA,2015,2015Q1,OTHER SERVICES,"8,463.79","8,463.79",
C001059,HON. JIM COSTA,2015,2015Q1,SUPPLIES AND MATERIALS,"2,318.42","2,318.42",
C001059,HON. JIM COSTA,2015,2015Q1,EQUIPMENT,444,444,
C001106,HON. RYAN A. COSTELLO,2015,2015Q1,FRANKED MAIL,481.92,481.92,
C001106,HON. RYAN A. COSTELLO,2015,2015Q1,PERSONNEL COMPENSATION,"182,525.08","182,525.08",
C001106,HON. RYAN A. COSTELLO,2015,2015Q1,TRAVEL,"3,127.30","3,127.30",
C001106,HON. RYAN A. COSTELLO,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","27,306.21","27,306.21",
C001106,HON. RYAN A. COSTELLO,2015,2015Q1,PRINTING AND REPRODUCTION,"2,827.49","2,827.49",
C001106,HON. RYAN A. COSTELLO,2015,2015Q1,OTHER SERVICES,"12,258.12","12,258.12",
C001106,HON. RYAN A. COSTELLO,2015,2015Q1,SUPPLIES AND MATERIALS,"3,866.60","3,866.60",
C001106,HON. RYAN A. COSTELLO,2015,2015Q1,EQUIPMENT,981.6,981.6,
C001069,HON. JOE COURTNEY,2015,2015Q1,FRANKED MAIL,703.58,703.58,
C001069,HON. JOE COURTNEY,2015,2015Q1,PERSONNEL COMPENSATION,"217,068.48","217,068.48",
C001069,HON. JOE COURTNEY,2015,2015Q1,TRAVEL,"4,220.69","4,220.69",
C001069,HON. JOE COURTNEY,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","22,737.28","22,737.28",
C001069,HON. JOE COURTNEY,2015,2015Q1,PRINTING AND REPRODUCTION,96,96,
C001069,HON. JOE COURTNEY,2015,2015Q1,OTHER SERVICES,"6,483.00","6,483.00",
C001069,HON. JOE COURTNEY,2015,2015Q1,SUPPLIES AND MATERIALS,"3,819.66","3,819.66",
C001069,HON. JOE COURTNEY,2015,2015Q1,EQUIPMENT,"1,081.50","1,081.50",
C001096,HON. KEVIN CRAMER,2015,2015Q1,FRANKED MAIL,138.68,138.68,
C001096,HON. KEVIN CRAMER,2015,2015Q1,PERSONNEL COMPENSATION,"171,777.67","171,777.67",
C001096,HON. KEVIN CRAMER,2015,2015Q1,TRAVEL,"7,170.66","7,170.66",
C001096,HON. KEVIN CRAMER,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","15,480.23","15,480.23",
C001096,HON. KEVIN CRAMER,2015,2015Q1,PRINTING AND REPRODUCTION,"2,419.64","2,419.64",
C001096,HON. KEVIN CRAMER,2015,2015Q1,OTHER SERVICES,"18,273.02","18,273.02",
C001096,HON. KEVIN CRAMER,2015,2015Q1,SUPPLIES AND MATERIALS,"9,371.96","9,371.96",
C001096,HON. KEVIN CRAMER,2015,2015Q1,EQUIPMENT,"1,074.45","1,074.45",
C001087,HON. ERIC A. RICK CRAWFORD,2015,2015Q1,FRANKED MAIL,419.49,419.49,
C001087,HON. ERIC A. RICK CRAWFORD,2015,2015Q1,PERSONNEL COMPENSATION,"224,130.17","224,130.17",
C001087,HON. ERIC A. RICK CRAWFORD,2015,2015Q1,TRAVEL,"10,521.75","10,521.75",
C001087,HON. ERIC A. RICK CRAWFORD,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","17,330.83","17,330.83",
C001087,HON. ERIC A. RICK CRAWFORD,2015,2015Q1,PRINTING AND REPRODUCTION,"2,331.46","2,331.46",
C001087,HON. ERIC A. RICK CRAWFORD,2015,2015Q1,OTHER SERVICES,"11,700.00","11,700.00",
C001087,HON. ERIC A. RICK CRAWFORD,2015,2015Q1,SUPPLIES AND MATERIALS,"2,597.71","2,597.71",
C001087,HON. ERIC A. RICK CRAWFORD,2015,2015Q1,EQUIPMENT,415.62,415.62,
C001045,HON. ANDER CRENSHAW,2015,2015Q1,FRANKED MAIL,-0.57,-0.57,
C001045,HON. ANDER CRENSHAW,2015,2015Q1,PERSONNEL COMPENSATION,"201,881.70","201,881.70",
C001045,HON. ANDER CRENSHAW,2015,2015Q1,TRAVEL,"4,574.35","4,574.35",
C001045,HON. ANDER CRENSHAW,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","14,127.79","14,127.79",
C001045,HON. ANDER CRENSHAW,2015,2015Q1,PRINTING AND REPRODUCTION,372.2,372.2,
C001045,HON. ANDER CRENSHAW,2015,2015Q1,OTHER SERVICES,"56,245.90","56,245.90",
C001045,HON. ANDER CRENSHAW,2015,2015Q1,SUPPLIES AND MATERIALS,"13,466.11","13,466.11",
C001045,HON. ANDER CRENSHAW,2015,2015Q1,EQUIPMENT,"1,176.00","1,176.00",
C001038,HON. JOSEPH CROWLEY,2015,2015Q1,FRANKED MAIL,473.78,473.78,
C001038,HON. JOSEPH CROWLEY,2015,2015Q1,PERSONNEL COMPENSATION,"219,174.95","219,174.95",
C001038,HON. JOSEPH CROWLEY,2015,2015Q1,TRAVEL,"2,137.13","2,137.13",
C001038,HON. JOSEPH CROWLEY,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","34,671.01","34,671.01",
C001038,HON. JOSEPH CROWLEY,2015,2015Q1,PRINTING AND REPRODUCTION,"1,016.72","1,016.72",
C001038,HON. JOSEPH CROWLEY,2015,2015Q1,OTHER SERVICES,"5,655.00","5,655.00",
C001038,HON. JOSEPH CROWLEY,2015,2015Q1,SUPPLIES AND MATERIALS,"1,193.95","1,193.95",
C001038,HON. JOSEPH CROWLEY,2015,2015Q1,EQUIPMENT,"1,109.40","1,109.40",
C001063,HON. HENRY CUELLAR,2015,2015Q1,FRANKED MAIL,197.12,197.12,
C001063,HON. HENRY CUELLAR,2015,2015Q1,PERSONNEL COMPENSATION,"178,672.14","178,672.14",
C001063,HON. HENRY CUELLAR,2015,2015Q1,TRAVEL,"10,434.78","10,434.78",
C001063,HON. HENRY CUELLAR,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","28,508.24","28,508.24",
C001063,HON. HENRY CUELLAR,2015,2015Q1,PRINTING AND REPRODUCTION,283.79,283.79,
C001063,HON. HENRY CUELLAR,2015,2015Q1,OTHER SERVICES,"14,620.46","14,620.46",
C001063,HON. HENRY CUELLAR,2015,2015Q1,SUPPLIES AND MATERIALS,"5,400.43","5,400.43",
C001063,HON. HENRY CUELLAR,2015,2015Q1,EQUIPMENT,156,156,
C001048,HON. JOHN ABNEY CULBERSON,2015,2015Q1,FRANKED MAIL,105.17,105.17,
C001048,HON. JOHN ABNEY CULBERSON,2015,2015Q1,PERSONNEL COMPENSATION,"171,503.91","171,503.91",
C001048,HON. JOHN ABNEY CULBERSON,2015,2015Q1,TRAVEL,"24,883.50","24,883.50",
C001048,HON. JOHN ABNEY CULBERSON,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","24,206.14","24,206.14",
C001048,HON. JOHN ABNEY CULBERSON,2015,2015Q1,PRINTING AND REPRODUCTION,764.4,764.4,
C001048,HON. JOHN ABNEY CULBERSON,2015,2015Q1,OTHER SERVICES,"11,555.49","11,555.49",
C001048,HON. JOHN ABNEY CULBERSON,2015,2015Q1,SUPPLIES AND MATERIALS,"3,647.23","3,647.23",
C001048,HON. JOHN ABNEY CULBERSON,2015,2015Q1,EQUIPMENT,480,480,
C000984,HON. ELIJAH E. CUMMINGS,2015,2015Q1,FRANKED MAIL,473.85,473.85,
C000984,HON. ELIJAH E. CUMMINGS,2015,2015Q1,PERSONNEL COMPENSATION,"232,829.91","232,829.91",
C000984,HON. ELIJAH E. CUMMINGS,2015,2015Q1,TRAVEL,316.72,316.72,
C000984,HON. ELIJAH E. CUMMINGS,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","32,540.46","32,540.46",
C000984,HON. ELIJAH E. CUMMINGS,2015,2015Q1,PRINTING AND REPRODUCTION,"2,772.72","2,772.72",
C000984,HON. ELIJAH E. CUMMINGS,2015,2015Q1,OTHER SERVICES,"9,716.12","9,716.12",
C000984,HON. ELIJAH E. CUMMINGS,2015,2015Q1,SUPPLIES AND MATERIALS,"11,036.19","11,036.19",
C000984,HON. ELIJAH E. CUMMINGS,2015,2015Q1,EQUIPMENT,630,630,
C001107,HON. CARLOS CURBELO,2015,2015Q1,FRANKED MAIL,202.99,202.99,
C001107,HON. CARLOS CURBELO,2015,2015Q1,PERSONNEL COMPENSATION,"166,873.66","166,873.66",
C001107,HON. CARLOS CURBELO,2015,2015Q1,TRAVEL,"6,724.36","6,724.36",
C001107,HON. CARLOS CURBELO,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","25,689.92","25,689.92",
C001107,HON. CARLOS CURBELO,2015,2015Q1,PRINTING AND REPRODUCTION,"2,973.20","2,973.20",
C001107,HON. CARLOS CURBELO,2015,2015Q1,OTHER SERVICES,"9,396.08","9,396.08",
C001107,HON. CARLOS CURBELO,2015,2015Q1,SUPPLIES AND MATERIALS,"4,431.54","4,431.54",
C001107,HON. CARLOS CURBELO,2015,2015Q1,EQUIPMENT,"1,327.21","1,327.21",
D000096,HON. DANNY K. DAVIS,2015,2015Q1,FRANKED MAIL,83.74,83.74,
D000096,HON. DANNY K. DAVIS,2015,2015Q1,PERSONNEL COMPENSATION,"237,364.63","237,364.63",
D000096,HON. DANNY K. DAVIS,2015,2015Q1,TRAVEL,"1,014.80","1,014.80",
D000096,HON. DANNY K. DAVIS,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","15,137.13","15,137.13",
D000096,HON. DANNY K. DAVIS,2015,2015Q1,PRINTING AND REPRODUCTION,830.5,830.5,
D000096,HON. DANNY K. DAVIS,2015,2015Q1,SUPPLIES AND MATERIALS,"2,627.37","2,627.37",
D000096,HON. DANNY K. DAVIS,2015,2015Q1,EQUIPMENT,745.47,745.47,
D000619,HON. RODNEY DAVIS,2015,2015Q1,FRANKED MAIL,"1,007.56","1,007.56",
D000619,HON. RODNEY DAVIS,2015,2015Q1,PERSONNEL COMPENSATION,"203,538.91","203,538.91",
D000619,HON. RODNEY DAVIS,2015,2015Q1,TRAVEL,"9,672.04","9,672.04",
D000619,HON. RODNEY DAVIS,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","18,117.97","18,117.97",
D000619,HON. RODNEY DAVIS,2015,2015Q1,PRINTING AND REPRODUCTION,"3,295.95","3,295.95",
D000619,HON. RODNEY DAVIS,2015,2015Q1,OTHER SERVICES,"13,885.75","13,885.75",
D000619,HON. RODNEY DAVIS,2015,2015Q1,SUPPLIES AND MATERIALS,"8,439.18","8,439.18",
D000619,HON. RODNEY DAVIS,2015,2015Q1,EQUIPMENT,"1,934.15","1,934.15",
D000598,HON. SUSAN A. DAVIS,2015,2015Q1,FRANKED MAIL,81,81,
D000598,HON. SUSAN A. DAVIS,2015,2015Q1,PERSONNEL COMPENSATION,"233,718.71","233,718.71",
D000598,HON. SUSAN A. DAVIS,2015,2015Q1,TRAVEL,"7,816.35","7,816.35",
D000598,HON. SUSAN A. DAVIS,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","5,886.87","5,886.87",
D000598,HON. SUSAN A. DAVIS,2015,2015Q1,PRINTING AND REPRODUCTION,123.1,123.1,
D000598,HON. SUSAN A. DAVIS,2015,2015Q1,OTHER SERVICES,"12,464.11","12,464.11",
D000598,HON. SUSAN A. DAVIS,2015,2015Q1,SUPPLIES AND MATERIALS,"5,741.69","5,741.69",
D000598,HON. SUSAN A. DAVIS,2015,2015Q1,EQUIPMENT,309,309,
D000191,HON. PETER A. DEFAZIO,2015,2015Q1,FRANKED MAIL,497.21,497.21,
D000191,HON. PETER A. DEFAZIO,2015,2015Q1,PERSONNEL COMPENSATION,"221,540.30","221,540.30",
D000191,HON. PETER A. DEFAZIO,2015,2015Q1,TRAVEL,"11,877.61","11,877.61",
D000191,HON. PETER A. DEFAZIO,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","19,041.98","19,041.98",
D000191,HON. PETER A. DEFAZIO,2015,2015Q1,PRINTING AND REPRODUCTION,307.9,307.9,
D000191,HON. PETER A. DEFAZIO,2015,2015Q1,OTHER SERVICES,"10,373.59","10,373.59",
D000191,HON. PETER A. DEFAZIO,2015,2015Q1,SUPPLIES AND MATERIALS,"1,590.70","1,590.70",
D000191,HON. PETER A. DEFAZIO,2015,2015Q1,EQUIPMENT,594.09,594.09,
D000197,HON. DIANA DEGETTE,2015,2015Q1,FRANKED MAIL,7.23,7.23,
D000197,HON. DIANA DEGETTE,2015,2015Q1,PERSONNEL COMPENSATION,"261,247.03","261,247.03",
D000197,HON. DIANA DEGETTE,2015,2015Q1,TRAVEL,"7,589.45","7,589.45",
D000197,HON. DIANA DEGETTE,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","20,152.48","20,152.48",
D000197,HON. DIANA DEGETTE,2015,2015Q1,PRINTING AND REPRODUCTION,46.01,46.01,
D000197,HON. DIANA DEGETTE,2015,2015Q1,OTHER SERVICES,"5,747.14","5,747.14",
D000197,HON. DIANA DEGETTE,2015,2015Q1,SUPPLIES AND MATERIALS,"2,267.98","2,267.98",
D000197,HON. DIANA DEGETTE,2015,2015Q1,EQUIPMENT,807.3,807.3,
D000620,HON. JOHN K. DELANEY,2015,2015Q1,FRANKED MAIL,"1,771.36","1,771.36",
D000620,HON. JOHN K. DELANEY,2015,2015Q1,PERSONNEL COMPENSATION,"239,648.93","239,648.93",
D000620,HON. JOHN K. DELANEY,2015,2015Q1,TRAVEL,"2,077.75","2,077.75",
D000620,HON. JOHN K. DELANEY,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","25,918.55","25,918.55",
D000620,HON. JOHN K. DELANEY,2015,2015Q1,PRINTING AND REPRODUCTION,386.05,386.05,
D000620,HON. JOHN K. DELANEY,2015,2015Q1,OTHER SERVICES,"8,685.00","8,685.00",
D000620,HON. JOHN K. DELANEY,2015,2015Q1,SUPPLIES AND MATERIALS,"10,026.24","10,026.24",
D000620,HON. JOHN K. DELANEY,2015,2015Q1,EQUIPMENT,"3,915.94","3,915.94",
D000216,HON. ROSA L. DELAURO,2015,2015Q1,FRANKED MAIL,122.14,122.14,
D000216,HON. ROSA L. DELAURO,2015,2015Q1,PERSONNEL COMPENSATION,"242,211.28","242,211.28",
D000216,HON. ROSA L. DELAURO,2015,2015Q1,TRAVEL,"2,649.61","2,649.61",
D000216,HON. ROSA L. DELAURO,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","18,347.22","18,347.22",
D000216,HON. ROSA L. DELAURO,2015,2015Q1,PRINTING AND REPRODUCTION,162.5,162.5,
D000216,HON. ROSA L. DELAURO,2015,2015Q1,OTHER SERVICES,"7,255.00","7,255.00",
D000216,HON. ROSA L. DELAURO,2015,2015Q1,SUPPLIES AND MATERIALS,708.02,708.02,
D000216,HON. ROSA L. DELAURO,2015,2015Q1,EQUIPMENT,576.99,576.99,
D000617,HON. SUZAN K. DELBENE,2015,2015Q1,FRANKED MAIL,53.8,53.8,
D000617,HON. SUZAN K. DELBENE,2015,2015Q1,PERSONNEL COMPENSATION,"203,488.90","203,488.90",
D000617,HON. SUZAN K. DELBENE,2015,2015Q1,TRAVEL,"9,479.19","9,479.19",
D000617,HON. SUZAN K. DELBENE,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","12,919.82","12,919.82",
D000617,HON. SUZAN K. DELBENE,2015,2015Q1,PRINTING AND REPRODUCTION,165,165,
D000617,HON. SUZAN K. DELBENE,2015,2015Q1,OTHER SERVICES,"10,500.00","10,500.00",
D000617,HON. SUZAN K. DELBENE,2015,2015Q1,SUPPLIES AND MATERIALS,"9,512.83","9,512.83",
D000612,HON. JEFF DENHAM,2015,2015Q1,FRANKED MAIL,"3,952.29","3,952.29",
D000612,HON. JEFF DENHAM,2015,2015Q1,PERSONNEL COMPENSATION,"214,990.86","214,990.86",
D000612,HON. JEFF DENHAM,2015,2015Q1,TRAVEL,"2,985.79","2,985.79",
D000612,HON. JEFF DENHAM,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","15,551.80","15,551.80",
D000612,HON. JEFF DENHAM,2015,2015Q1,PRINTING AND REPRODUCTION,"1,604.28","1,604.28",
D000612,HON. JEFF DENHAM,2015,2015Q1,OTHER SERVICES,"10,315.37","10,315.37",
D000612,HON. JEFF DENHAM,2015,2015Q1,SUPPLIES AND MATERIALS,"2,095.98","2,095.98",
D000612,HON. JEFF DENHAM,2015,2015Q1,EQUIPMENT,"1,041.33","1,041.33",
D000604,HON. CHARLES W. DENT,2015,2015Q1,FRANKED MAIL,684.13,684.13,
D000604,HON. CHARLES W. DENT,2015,2015Q1,PERSONNEL COMPENSATION,"191,845.56","191,845.56",
D000604,HON. CHARLES W. DENT,2015,2015Q1,TRAVEL,"5,409.41","5,409.41",
D000604,HON. CHARLES W. DENT,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","22,509.43","22,509.43",
D000604,HON. CHARLES W. DENT,2015,2015Q1,PRINTING AND REPRODUCTION,924.95,924.95,
D000604,HON. CHARLES W. DENT,2015,2015Q1,OTHER SERVICES,"11,487.50","11,487.50",
D000604,HON. CHARLES W. DENT,2015,2015Q1,SUPPLIES AND MATERIALS,"2,549.84","2,549.84",
D000604,HON. CHARLES W. DENT,2015,2015Q1,EQUIPMENT,"1,372.82","1,372.82",
D000621,HON. RON DESANTIS,2015,2015Q1,FRANKED MAIL,220.36,220.36,
D000621,HON. RON DESANTIS,2015,2015Q1,PERSONNEL COMPENSATION,"183,946.52","183,946.52",
D000621,HON. RON DESANTIS,2015,2015Q1,TRAVEL,"9,641.90","9,641.90",
D000621,HON. RON DESANTIS,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","9,389.33","9,389.33",
D000621,HON. RON DESANTIS,2015,2015Q1,PRINTING AND REPRODUCTION,378.27,378.27,
D000621,HON. RON DESANTIS,2015,2015Q1,OTHER SERVICES,"16,235.00","16,235.00",
D000621,HON. RON DESANTIS,2015,2015Q1,SUPPLIES AND MATERIALS,"1,183.73","1,183.73",
D000621,HON. RON DESANTIS,2015,2015Q1,EQUIPMENT,"1,658.93","1,658.93",
D000623,HON. MARK DESAULNIER,2015,2015Q1,FRANKED MAIL,-12.55,-12.55,
D000623,HON. MARK DESAULNIER,2015,2015Q1,PERSONNEL COMPENSATION,"158,632.20","158,632.20",
D000623,HON. MARK DESAULNIER,2015,2015Q1,TRAVEL,"5,728.52","5,728.52",
D000623,HON. MARK DESAULNIER,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","21,908.36","21,908.36",
D000623,HON. MARK DESAULNIER,2015,2015Q1,PRINTING AND REPRODUCTION,"4,138.71","4,138.71",
D000623,HON. MARK DESAULNIER,2015,2015Q1,OTHER SERVICES,"8,850.00","8,850.00",
D000623,HON. MARK DESAULNIER,2015,2015Q1,SUPPLIES AND MATERIALS,"2,660.74","2,660.74",
D000623,HON. MARK DESAULNIER,2015,2015Q1,EQUIPMENT,"1,491.10","1,491.10",
D000616,HON. SCOTT DESJARLAIS,2015,2015Q1,FRANKED MAIL,546.81,546.81,
D000616,HON. SCOTT DESJARLAIS,2015,2015Q1,PERSONNEL COMPENSATION,"156,724.97","156,724.97",
D000616,HON. SCOTT DESJARLAIS,2015,2015Q1,TRAVEL,"11,367.18","11,367.18",
D000616,HON. SCOTT DESJARLAIS,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","15,820.44","15,820.44",
D000616,HON. SCOTT DESJARLAIS,2015,2015Q1,PRINTING AND REPRODUCTION,"1,389.36","1,389.36",
D000616,HON. SCOTT DESJARLAIS,2015,2015Q1,OTHER SERVICES,"13,394.12","13,394.12",
D000616,HON. SCOTT DESJARLAIS,2015,2015Q1,SUPPLIES AND MATERIALS,"4,284.15","4,284.15",
D000616,HON. SCOTT DESJARLAIS,2015,2015Q1,EQUIPMENT,"1,896.38","1,896.38",
D000610,HON. THEODORE E. DEUTCH,2015,2015Q1,FRANKED MAIL,127.51,127.51,
D000610,HON. THEODORE E. DEUTCH,2015,2015Q1,PERSONNEL COMPENSATION,"256,936.19","256,936.19",
D000610,HON. THEODORE E. DEUTCH,2015,2015Q1,TRAVEL,"2,584.43","2,584.43",
D000610,HON. THEODORE E. DEUTCH,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","13,573.84","13,573.84",
D000610,HON. THEODORE E. DEUTCH,2015,2015Q1,PRINTING AND REPRODUCTION,261.4,261.4,
D000610,HON. THEODORE E. DEUTCH,2015,2015Q1,OTHER SERVICES,"6,452.58","6,452.58",
D000610,HON. THEODORE E. DEUTCH,2015,2015Q1,SUPPLIES AND MATERIALS,"5,228.38","5,228.38",
D000610,HON. THEODORE E. DEUTCH,2015,2015Q1,EQUIPMENT,"1,369.38","1,369.38",
D000600,HON. MARIO DIAZ-BALART,2015,2015Q1,FRANKED MAIL,841.35,841.35,
D000600,HON. MARIO DIAZ-BALART,2015,2015Q1,PERSONNEL COMPENSATION,"197,588.85","197,588.85",
D000600,HON. MARIO DIAZ-BALART,2015,2015Q1,TRAVEL,"19,271.28","19,271.28",
