BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,DESCRIPTION,YTD,AMOUNT
C001107,HON. CARLOS CURBELO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9700.19,7272.86
C001107,HON. CARLOS CURBELO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,750,375
C001107,HON. CARLOS CURBELO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,551993.11,288740.37
C001107,HON. CARLOS CURBELO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,551993.11,288740.37
D000626,HON. WARREN DAVIDSON,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2386.65,2423.13
D000626,HON. WARREN DAVIDSON,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,423956.14,218058.36
D000626,HON. WARREN DAVIDSON,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17245.2,13827.73
D000626,HON. WARREN DAVIDSON,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,41774.31,23572.61
D000626,HON. WARREN DAVIDSON,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1508.07,246.68
D000626,HON. WARREN DAVIDSON,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21505,11500
D000626,HON. WARREN DAVIDSON,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11592.18,10561.04
D000626,HON. WARREN DAVIDSON,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1001.82,500.91
D000626,HON. WARREN DAVIDSON,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,520969.37,280690.46
D000626,HON. WARREN DAVIDSON,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,520969.37,280690.46
D000096,HON. DANNY K. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,8664.67,5021.57
D000096,HON. DANNY K. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,548153.44,277156.23
D000096,HON. DANNY K. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9298.48,6306.85
D000096,HON. DANNY K. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,49725.81,28951.72
D000096,HON. DANNY K. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1939.51,821.96
D000096,HON. DANNY K. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11094.14,3355.04
D000096,HON. DANNY K. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8874.23,7444.51
D000096,HON. DANNY K. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1731.52,635.76
D000096,HON. DANNY K. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,639481.8,329693.64
D000096,HON. DANNY K. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,639481.8,329693.64
D000619,HON. RODNEY DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,10687.43,6428.64
D000619,HON. RODNEY DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,416454.2,206229.41
D000619,HON. RODNEY DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,28731.24,18667.2
D000619,HON. RODNEY DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,54973.25,36812.61
D000619,HON. RODNEY DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,11096.87,9950.65
D000619,HON. RODNEY DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23277.62,11979.07
D000619,HON. RODNEY DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10254.82,7985.88
D000619,HON. RODNEY DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1637.48,1478.04
D000619,HON. RODNEY DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,557112.91,299531.5
D000619,HON. RODNEY DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,557112.91,299531.5
D000598,HON. SUSAN A. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,387.65,287.74
D000598,HON. SUSAN A. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,477957.83,241210.19
D000598,HON. SUSAN A. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,16524.02,7562.69
D000598,HON. SUSAN A. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,20791.33,13823.69
D000598,HON. SUSAN A. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,759.38,617.38
D000598,HON. SUSAN A. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,14866.72,8295.86
D000598,HON. SUSAN A. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,23112.99,13557.57
D000598,HON. SUSAN A. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1515.32,1206.32
D000598,HON. SUSAN A. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,555915.24,286561.44
D000598,HON. SUSAN A. DAVIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,555915.24,286561.44
D000191,HON. PETER A. DEFAZIO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1117.47,748.82
D000191,HON. PETER A. DEFAZIO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,473946.33,242250.82
D000191,HON. PETER A. DEFAZIO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,25559.05,14733.81
D000191,HON. PETER A. DEFAZIO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,40599.56,21569.7
D000191,HON. PETER A. DEFAZIO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1162.5,286.9
D000191,HON. PETER A. DEFAZIO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21286.29,10428.3
D000191,HON. PETER A. DEFAZIO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4935.5,3564.21
D000191,HON. PETER A. DEFAZIO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1147.68,648.09
D000191,HON. PETER A. DEFAZIO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,569754.38,294230.65
D000191,HON. PETER A. DEFAZIO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,569754.38,294230.65
D000197,HON. DIANA DEGETTE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,192.55,110.63
D000197,HON. DIANA DEGETTE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,517883.79,266749.97
D000197,HON. DIANA DEGETTE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,25438.18,16598.94
D000197,HON. DIANA DEGETTE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,47477.47,39422.56
D000197,HON. DIANA DEGETTE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1179.13,1153.67
D000197,HON. DIANA DEGETTE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11472.08,5790.18
D000197,HON. DIANA DEGETTE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3875.76,1794.43
D000197,HON. DIANA DEGETTE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1632.36,870.06
D000197,HON. DIANA DEGETTE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,609151.32,332490.44
D000197,HON. DIANA DEGETTE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,609151.32,332490.44
D000620,HON. JOHN K. DELANEY,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,996.04,794.55
D000620,HON. JOHN K. DELANEY,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,449822.89,232691.72
D000620,HON. JOHN K. DELANEY,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7864.15,5353.71
D000620,HON. JOHN K. DELANEY,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,57567.59,30033.4
D000620,HON. JOHN K. DELANEY,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4121,3163.6
D000620,HON. JOHN K. DELANEY,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19683.36,9718.88
D000620,HON. JOHN K. DELANEY,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17948.06,11262.19
D000620,HON. JOHN K. DELANEY,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1453.48,383.85
D000620,HON. JOHN K. DELANEY,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,559456.57,293401.9
D000620,HON. JOHN K. DELANEY,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,559456.57,293401.9
D000216,HON. ROSA L. DELAURO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,182.94,67.99
D000216,HON. ROSA L. DELAURO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,517866.72,263494.74
D000216,HON. ROSA L. DELAURO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10839,4126.7
D000216,HON. ROSA L. DELAURO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,41932.99,20806.75
D000216,HON. ROSA L. DELAURO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,513.69,443.79
D000216,HON. ROSA L. DELAURO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21430.09,8350.09
D000216,HON. ROSA L. DELAURO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4557.8,3569.98
D000216,HON. ROSA L. DELAURO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1153.98,576.99
D000216,HON. ROSA L. DELAURO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,598477.21,301437.03
D000216,HON. ROSA L. DELAURO,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,598477.21,301437.03
D000617,HON. SUZAN K. DELBENE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1247.51,1119.9
D000617,HON. SUZAN K. DELBENE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,416116.6,212652.77
D000617,HON. SUZAN K. DELBENE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17188.23,11960.86
D000617,HON. SUZAN K. DELBENE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,37686.16,17507.24
D000617,HON. SUZAN K. DELBENE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,12505.25,12443.75
D000617,HON. SUZAN K. DELBENE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20850,10425
D000617,HON. SUZAN K. DELBENE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17646.04,15946.65
D000617,HON. SUZAN K. DELBENE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4704,0
D000617,HON. SUZAN K. DELBENE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,527943.79,282056.17
D000617,HON. SUZAN K. DELBENE,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,527943.79,282056.17
D000627,HON. VAL BUTLER DEMINGS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,17.23,45.66
D000627,HON. VAL BUTLER DEMINGS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,375451.63,214766.64
D000627,HON. VAL BUTLER DEMINGS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,27915,23737.83
D000627,HON. VAL BUTLER DEMINGS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,50820.98,31203.97
D000627,HON. VAL BUTLER DEMINGS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5955,3316.45
D000627,HON. VAL BUTLER DEMINGS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,13236,5580
D000627,HON. VAL BUTLER DEMINGS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,29534.9,12619.49
D000627,HON. VAL BUTLER DEMINGS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,14711.77,2724.6
D000627,HON. VAL BUTLER DEMINGS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,517642.51,293994.64
D000627,HON. VAL BUTLER DEMINGS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,517642.51,293994.64
D000612,HON. JEFF DENHAM,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,24553.26,5084.21
D000612,HON. JEFF DENHAM,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,449482.55,227546.75
D000612,HON. JEFF DENHAM,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,25540.29,21262.76
D000612,HON. JEFF DENHAM,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,51758.85,35040.5
D000612,HON. JEFF DENHAM,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,8434.23,8070.05
D000612,HON. JEFF DENHAM,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,26109.49,12299.27
D000612,HON. JEFF DENHAM,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8925.06,4893.92
D000612,HON. JEFF DENHAM,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1881.55,1015.81
D000612,HON. JEFF DENHAM,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,596685.28,315213.27
D000612,HON. JEFF DENHAM,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,596685.28,315213.27
D000604,HON. CHARLES W. DENT,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3083.76,2209.12
D000604,HON. CHARLES W. DENT,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,440731.27,222894.51
D000604,HON. CHARLES W. DENT,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12365.38,7944.04
D000604,HON. CHARLES W. DENT,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,51497.01,29125.17
D000604,HON. CHARLES W. DENT,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,845.54,532.82
D000604,HON. CHARLES W. DENT,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23800,13375
D000604,HON. CHARLES W. DENT,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6545.61,3752.34
D000604,HON. CHARLES W. DENT,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,538868.57,279833
D000604,HON. CHARLES W. DENT,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,538868.57,279833
D000621,HON. RON DESANTIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,12906.77,12551.36
D000621,HON. RON DESANTIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,504014.69,248091.94
D000621,HON. RON DESANTIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,25159.28,15830.54
D000621,HON. RON DESANTIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,31184.7,15887.37
D000621,HON. RON DESANTIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,13889.63,13264.59
D000621,HON. RON DESANTIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,26225.3,15760.5
D000621,HON. RON DESANTIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12772.38,2934.13
D000621,HON. RON DESANTIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,12636.69,2990.26
D000621,HON. RON DESANTIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,638789.44,327310.69
D000621,HON. RON DESANTIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,638789.44,327310.69
D000623,HON. MARK DESAULNIER,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1194.22,317.2
D000623,HON. MARK DESAULNIER,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,382884.33,184579.17
D000623,HON. MARK DESAULNIER,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,20063.72,10764.55
D000623,HON. MARK DESAULNIER,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,56575.63,28319.65
D000623,HON. MARK DESAULNIER,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,90.3,90.3
D000623,HON. MARK DESAULNIER,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11470,5385
D000623,HON. MARK DESAULNIER,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1805.4,1114.38
D000623,HON. MARK DESAULNIER,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4470,3420
D000623,HON. MARK DESAULNIER,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,478553.6,233990.25
D000623,HON. MARK DESAULNIER,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,478553.6,233990.25
D000616,HON. SCOTT DESJARLAIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1095.9,927.36
D000616,HON. SCOTT DESJARLAIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,361788.22,176621.62
D000616,HON. SCOTT DESJARLAIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,32964.33,18690.04
D000616,HON. SCOTT DESJARLAIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,58188.62,46975.43
D000616,HON. SCOTT DESJARLAIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,29118.35,28930.82
D000616,HON. SCOTT DESJARLAIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,27240.4,11157.35
D000616,HON. SCOTT DESJARLAIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10425.25,6039.91
D000616,HON. SCOTT DESJARLAIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2963.45,1512.47
D000616,HON. SCOTT DESJARLAIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,523784.52,290855
D000616,HON. SCOTT DESJARLAIS,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,523784.52,290855
D000610,HON. THEODORE E. DEUTCH,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1359.33,1257.16
D000610,HON. THEODORE E. DEUTCH,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,542969.25,273555.24
D000610,HON. THEODORE E. DEUTCH,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14385.95,5605.98
D000610,HON. THEODORE E. DEUTCH,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,31145.88,16606.49
D000610,HON. THEODORE E. DEUTCH,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2049.09,1325.19
D000610,HON. THEODORE E. DEUTCH,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,12864.24,6755
D000610,HON. THEODORE E. DEUTCH,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,18464.8,6140.33
D000610,HON. THEODORE E. DEUTCH,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1944,1434
D000610,HON. THEODORE E. DEUTCH,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,625182.54,312679.39
D000610,HON. THEODORE E. DEUTCH,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,625182.54,312679.39
D000600,HON. MARIO DIAZ-BALART,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4077.1,3569.26
D000600,HON. MARIO DIAZ-BALART,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,420249.94,212716.65
D000600,HON. MARIO DIAZ-BALART,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,34569.91,20598.66
D000600,HON. MARIO DIAZ-BALART,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,78338.91,44904.63
D000600,HON. MARIO DIAZ-BALART,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,168.44,87.79
D000600,HON. MARIO DIAZ-BALART,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23181.7,11648.85
D000600,HON. MARIO DIAZ-BALART,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10724.16,2696.2
D000600,HON. MARIO DIAZ-BALART,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1511.64,755.82
D000600,HON. MARIO DIAZ-BALART,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,572821.8,296977.86
D000600,HON. MARIO DIAZ-BALART,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,572821.8,296977.86
D000624,HON. DEBBIE DINGELL,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-300.94,-112.5
D000624,HON. DEBBIE DINGELL,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,443117.6,219009.24
D000624,HON. DEBBIE DINGELL,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,16885.04,10599.86
D000624,HON. DEBBIE DINGELL,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,62989.78,40588.73
D000624,HON. DEBBIE DINGELL,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,885.4,885.4
D000624,HON. DEBBIE DINGELL,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11141.52,5462.52
D000624,HON. DEBBIE DINGELL,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3062.05,2535.1
D000624,HON. DEBBIE DINGELL,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1914,957
D000624,HON. DEBBIE DINGELL,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,539694.45,279925.35
D000624,HON. DEBBIE DINGELL,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,539694.45,279925.35
D000399,HON. LLOYD DOGGETT,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,11717.64,9467.47
D000399,HON. LLOYD DOGGETT,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,408280.95,205993
D000399,HON. LLOYD DOGGETT,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9710.29,6307.66
D000399,HON. LLOYD DOGGETT,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,64700.01,32022.77
D000399,HON. LLOYD DOGGETT,2017,2017Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,8275.25,2628.8
