BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,DESCRIPTION,YTD,AMOUNT
B000213,HON. JOE BARTON,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,20823.13,20823.13
B000213,HON. JOE BARTON,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,280.2,280.2
B000213,HON. JOE BARTON,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11277.06,11277.06
B000213,HON. JOE BARTON,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2166.48,2166.48
B000213,HON. JOE BARTON,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,716.57,716.57
B000213,HON. JOE BARTON,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,291978.67,291978.67
B000213,HON. JOE BARTON,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,291978.67,291978.67
B001270,HON. KAREN BASS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2196.13,2196.13
B001270,HON. KAREN BASS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,218919.48,218919.48
B001270,HON. KAREN BASS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,22106.13,22106.13
B001270,HON. KAREN BASS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,31344.09,31344.09
B001270,HON. KAREN BASS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,514.5,514.5
B001270,HON. KAREN BASS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7351.72,7351.72
B001270,HON. KAREN BASS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12661.88,12661.88
B001270,HON. KAREN BASS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,735,735
B001270,HON. KAREN BASS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,295828.93,295828.93
B001270,HON. KAREN BASS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,295828.93,295828.93
B001281,HON. JOYCE BEATTY,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,30.83,30.83
B001281,HON. JOYCE BEATTY,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,207930.6,207930.6
B001281,HON. JOYCE BEATTY,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3210.54,3210.54
B001281,HON. JOYCE BEATTY,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,22894.38,22894.38
B001281,HON. JOYCE BEATTY,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1902.15,1902.15
B001281,HON. JOYCE BEATTY,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5464.32,5464.32
B001281,HON. JOYCE BEATTY,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9071.89,9071.89
B001281,HON. JOYCE BEATTY,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,301.5,301.5
B001281,HON. JOYCE BEATTY,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,250806.21,250806.21
B001281,HON. JOYCE BEATTY,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,250806.21,250806.21
B000287,HON. XAVIER BECARRA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,106.04,106.04
B000287,HON. XAVIER BECARRA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,223746.62,223746.62
B000287,HON. XAVIER BECARRA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,5113.66,5113.66
B000287,HON. XAVIER BECARRA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,24875.68,24875.68
B000287,HON. XAVIER BECARRA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,203.75,203.75
B000287,HON. XAVIER BECARRA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,9465,9465
B000287,HON. XAVIER BECARRA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2643.37,2643.37
B000287,HON. XAVIER BECARRA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,525,525
B000287,HON. XAVIER BECARRA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,266679.12,266679.12
B000287,HON. XAVIER BECARRA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,266679.12,266679.12
B001287,HON. AMI BERA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-37.7,-37.7
B001287,HON. AMI BERA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,192964.28,192964.28
B001287,HON. AMI BERA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,4861.34,4861.34
B001287,HON. AMI BERA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,22186.57,22186.57
B001287,HON. AMI BERA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4349.84,4349.84
B001287,HON. AMI BERA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5355,5355
B001287,HON. AMI BERA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1438.78,1438.78
B001287,HON. AMI BERA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1155.33,1155.33
B001287,HON. AMI BERA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,232273.44,232273.44
B001287,HON. AMI BERA,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,232273.44,232273.44
B001301,HON. JACK BERGMAN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,274.02,274.02
B001301,HON. JACK BERGMAN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,176139.46,176139.46
B001301,HON. JACK BERGMAN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1415.2,1415.2
B001301,HON. JACK BERGMAN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,10338.99,10338.99
B001301,HON. JACK BERGMAN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,689,689
B001301,HON. JACK BERGMAN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,9025.03,9025.03
B001301,HON. JACK BERGMAN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3542.25,3542.25
B001301,HON. JACK BERGMAN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1229.22,1229.22
B001301,HON. JACK BERGMAN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,202653.17,202653.17
B001301,HON. JACK BERGMAN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,202653.17,202653.17
B001292,HON. DONALD S. BEYER  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,35.88,35.88
B001292,HON. DONALD S. BEYER  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,222283.25,222283.25
B001292,HON. DONALD S. BEYER  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,343.27,343.27
B001292,HON. DONALD S. BEYER  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,16520.39,16520.39
B001292,HON. DONALD S. BEYER  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,287.89,287.89
B001292,HON. DONALD S. BEYER  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,8965,8965
B001292,HON. DONALD S. BEYER  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4328.55,4328.55
B001292,HON. DONALD S. BEYER  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,961.34,961.34
B001292,HON. DONALD S. BEYER  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,253725.57,253725.57
B001292,HON. DONALD S. BEYER  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,253725.57,253725.57
B001302,HON. ANDY BIGGS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,143.52,143.52
B001302,HON. ANDY BIGGS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,189686.07,189686.07
B001302,HON. ANDY BIGGS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2829.12,2829.12
B001302,HON. ANDY BIGGS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,29626.4,29626.4
B001302,HON. ANDY BIGGS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1092.02,1092.02
B001302,HON. ANDY BIGGS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10494.11,10494.11
B001302,HON. ANDY BIGGS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2573.13,2573.13
B001302,HON. ANDY BIGGS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,721.71,721.71
B001302,HON. ANDY BIGGS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,237166.08,237166.08
B001302,HON. ANDY BIGGS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,237166.08,237166.08
B001257,HON. GUS  M. BILIRAKIS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,9785.23,9785.23
B001257,HON. GUS  M. BILIRAKIS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,223710.69,223710.69
B001257,HON. GUS  M. BILIRAKIS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8877.62,8877.62
B001257,HON. GUS  M. BILIRAKIS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,18859.66,18859.66
B001257,HON. GUS  M. BILIRAKIS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,9136.44,9136.44
B001257,HON. GUS  M. BILIRAKIS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11154,11154
B001257,HON. GUS  M. BILIRAKIS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2261.9,2261.9
B001257,HON. GUS  M. BILIRAKIS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1155.18,1155.18
B001257,HON. GUS  M. BILIRAKIS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,284940.72,284940.72
B001257,HON. GUS  M. BILIRAKIS,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,284940.72,284940.72
B001293,HON. MIKE BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,609.11,609.11
B001293,HON. MIKE BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,207803.82,207803.82
B001293,HON. MIKE BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,11953.91,11953.91
B001293,HON. MIKE BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,18989.14,18989.14
B001293,HON. MIKE BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1054.85,1054.85
B001293,HON. MIKE BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10750,10750
B001293,HON. MIKE BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2956.25,2956.25
B001293,HON. MIKE BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,900,900
B001293,HON. MIKE BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,255017.08,255017.08
B001293,HON. MIKE BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,255017.08,255017.08
B001250,HON. ROB BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-500.5,-500.5
B001250,HON. ROB BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,204663.88,204663.88
B001250,HON. ROB BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2868.1,2868.1
B001250,HON. ROB BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,9323.14,9323.14
B001250,HON. ROB BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,64,64
B001250,HON. ROB BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,8884.16,8884.16
B001250,HON. ROB BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1206.58,1206.58
B001250,HON. ROB BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,459.64,459.64
B001250,HON. ROB BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,226969,226969
B001250,HON. ROB BISHOP,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,226969,226969
B000490,HON. SANFORD D. BISHOP  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,216.25,216.25
B000490,HON. SANFORD D. BISHOP  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,201935.71,201935.71
B000490,HON. SANFORD D. BISHOP  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8699.54,8699.54
B000490,HON. SANFORD D. BISHOP  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,28525.34,28525.34
B000490,HON. SANFORD D. BISHOP  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,259.1,259.1
B000490,HON. SANFORD D. BISHOP  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,8040,8040
B000490,HON. SANFORD D. BISHOP  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6548.52,6548.52
B000490,HON. SANFORD D. BISHOP  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1484.84,1484.84
B000490,HON. SANFORD D. BISHOP  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,255709.3,255709.3
B000490,HON. SANFORD D. BISHOP  JR.,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,255709.3,255709.3
B001273,HON. DIANE BLACK,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,714.51,714.51
B001273,HON. DIANE BLACK,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,207571.3,207571.3
B001273,HON. DIANE BLACK,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,5729.22,5729.22
B001273,HON. DIANE BLACK,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,10692.69,10692.69
B001273,HON. DIANE BLACK,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,259.7,259.7
B001273,HON. DIANE BLACK,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10425,10425
B001273,HON. DIANE BLACK,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8621.62,8621.62
B001273,HON. DIANE BLACK,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,588,588
B001273,HON. DIANE BLACK,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,244602.04,244602.04
B001273,HON. DIANE BLACK,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,244602.04,244602.04
B001243,HON. MARSHA BLACKBURN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,105,105
B001243,HON. MARSHA BLACKBURN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,244686.27,244686.27
B001243,HON. MARSHA BLACKBURN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8344.7,8344.7
B001243,HON. MARSHA BLACKBURN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,21244.15,21244.15
B001243,HON. MARSHA BLACKBURN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,372.06,372.06
B001243,HON. MARSHA BLACKBURN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10555,10555
B001243,HON. MARSHA BLACKBURN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3039.42,3039.42
B001243,HON. MARSHA BLACKBURN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,93.6,93.6
B001243,HON. MARSHA BLACKBURN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,288440.2,288440.2
B001243,HON. MARSHA BLACKBURN,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,288440.2,288440.2
B001294,HON. ROD BLUM,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,953.03,953.03
B001294,HON. ROD BLUM,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,147977.75,147977.75
B001294,HON. ROD BLUM,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,455.65,455.65
B001294,HON. ROD BLUM,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,16989.44,16989.44
B001294,HON. ROD BLUM,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,565.84,565.84
B001294,HON. ROD BLUM,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5827,5827
B001294,HON. ROD BLUM,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6130.08,6130.08
B001294,HON. ROD BLUM,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5807.97,5807.97
B001294,HON. ROD BLUM,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,184706.76,184706.76
B001294,HON. ROD BLUM,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,184706.76,184706.76
B000574,HON. EARL BLUMENAUER,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,113.35,113.35
B000574,HON. EARL BLUMENAUER,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,241589.95,241589.95
B000574,HON. EARL BLUMENAUER,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,4515.63,4515.63
B000574,HON. EARL BLUMENAUER,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,18427.69,18427.69
B000574,HON. EARL BLUMENAUER,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,512.62,512.62
B000574,HON. EARL BLUMENAUER,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11081.97,11081.97
B000574,HON. EARL BLUMENAUER,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10191.53,10191.53
B000574,HON. EARL BLUMENAUER,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,588,588
B000574,HON. EARL BLUMENAUER,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,287020.74,287020.74
B000574,HON. EARL BLUMENAUER,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,287020.74,287020.74
B001278,HON. SUZANNE BONAMICI,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,334.24,334.24
B001278,HON. SUZANNE BONAMICI,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,250882.2,250882.2
B001278,HON. SUZANNE BONAMICI,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7252.94,7252.94
B001278,HON. SUZANNE BONAMICI,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,20108.37,20108.37
B001278,HON. SUZANNE BONAMICI,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,89,89
B001278,HON. SUZANNE BONAMICI,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5629.95,5629.95
B001278,HON. SUZANNE BONAMICI,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,719.16,719.16
B001278,HON. SUZANNE BONAMICI,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1065,1065
B001278,HON. SUZANNE BONAMICI,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,286080.86,286080.86
B001278,HON. SUZANNE BONAMICI,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,286080.86,286080.86
B001245,HON. MADELEINE Z. BORDALLO,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,206.8,206.8
B001245,HON. MADELEINE Z. BORDALLO,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,181120.01,181120.01
B001245,HON. MADELEINE Z. BORDALLO,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,28305.17,28305.17
B001245,HON. MADELEINE Z. BORDALLO,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,34693.64,34693.64
B001245,HON. MADELEINE Z. BORDALLO,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,61.5,61.5
B001245,HON. MADELEINE Z. BORDALLO,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10436,10436
B001245,HON. MADELEINE Z. BORDALLO,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5694.48,5694.48
B001245,HON. MADELEINE Z. BORDALLO,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2230.26,2230.26
B001245,HON. MADELEINE Z. BORDALLO,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,262747.86,262747.86
B001245,HON. MADELEINE Z. BORDALLO,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,262747.86,262747.86
B001295,HON. MIKE BOST,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1246.39,1246.39
B001295,HON. MIKE BOST,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,201133.24,201133.24
B001295,HON. MIKE BOST,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,5701.06,5701.06
B001295,HON. MIKE BOST,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,27144.69,27144.69
B001295,HON. MIKE BOST,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1439.72,1439.72
B001295,HON. MIKE BOST,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11078,11078
B001295,HON. MIKE BOST,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4006.28,4006.28
B001295,HON. MIKE BOST,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1488.41,1488.41
B001295,HON. MIKE BOST,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,253237.79,253237.79
B001295,HON. MIKE BOST,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,253237.79,253237.79
B001296,HON. BRENDAN F. BOYLE,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,72.38,72.38
B001296,HON. BRENDAN F. BOYLE,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,228969.43,228969.43
B001296,HON. BRENDAN F. BOYLE,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2018.26,2018.26
B001296,HON. BRENDAN F. BOYLE,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,22941.6,22941.6
B001296,HON. BRENDAN F. BOYLE,2017,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1198.01,1198.01
