BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,CATEGORY,YTD,AMOUNT
D000612,2017 HON. JEFF DENHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,675560.29,226077.74
D000612,2017 HON. JEFF DENHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,38278.32,12738.03
D000612,2017 HON. JEFF DENHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,71846.05,20087.2
D000612,2017 HON. JEFF DENHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,12041.85,3607.62
D000612,2017 HON. JEFF DENHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38790.15,12680.66
D000612,2017 HON. JEFF DENHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11343.71,2418.65
D000612,2017 HON. JEFF DENHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2747.29,865.74
D000612,2017 HON. JEFF DENHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,891721.54,295036.26
D000612,2017 HON. JEFF DENHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,891721.54,295036.26
D000604,2017 HON. CHARLES W. DENT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4517.4,1433.64
D000604,2017 HON. CHARLES W. DENT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,678028.52,237297.25
D000604,2017 HON. CHARLES W. DENT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,19338.74,6973.36
D000604,2017 HON. CHARLES W. DENT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,73463.48,21966.47
D000604,2017 HON. CHARLES W. DENT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5338.62,4493.08
D000604,2017 HON. CHARLES W. DENT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,36485.79,12685.79
D000604,2017 HON. CHARLES W. DENT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9559.07,3013.46
D000604,2017 HON. CHARLES W. DENT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,826731.62,287863.05
D000604,2017 HON. CHARLES W. DENT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,826731.62,287863.05
D000621,2017 HON. RON DESANTIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,15980.4,3073.63
D000621,2017 HON. RON DESANTIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,760456.35,256441.66
D000621,2017 HON. RON DESANTIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,34761.05,9601.77
D000621,2017 HON. RON DESANTIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,43035.05,11850.35
D000621,2017 HON. RON DESANTIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,14137.04,247.41
D000621,2017 HON. RON DESANTIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,36830.3,10605
D000621,2017 HON. RON DESANTIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14399,1626.62
D000621,2017 HON. RON DESANTIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,13383.12,746.43
D000621,2017 HON. RON DESANTIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,932982.31,294192.87
D000621,2017 HON. RON DESANTIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,932982.31,294192.87
D000623,2017 HON. MARK DESAULNIER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,7883.93,6689.71
D000623,2017 HON. MARK DESAULNIER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,560146.13,177261.8
D000623,2017 HON. MARK DESAULNIER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,34871.03,14807.31
D000623,2017 HON. MARK DESAULNIER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,92570.66,35995.03
D000623,2017 HON. MARK DESAULNIER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2822.77,2732.47
D000623,2017 HON. MARK DESAULNIER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,25094.8,13624.8
D000623,2017 HON. MARK DESAULNIER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2444.45,639.05
D000623,2017 HON. MARK DESAULNIER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5520,1050
D000623,2017 HON. MARK DESAULNIER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,731353.77,252800.17
D000623,2017 HON. MARK DESAULNIER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,731353.77,252800.17
D000616,2017 HON. SCOTT DESJARLAIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1851.89,755.99
D000616,2017 HON. SCOTT DESJARLAIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,526789.01,165000.79
D000616,2017 HON. SCOTT DESJARLAIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,51539.67,18575.34
D000616,2017 HON. SCOTT DESJARLAIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,81829.11,23640.49
D000616,2017 HON. SCOTT DESJARLAIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,78600.55,49482.2
D000616,2017 HON. SCOTT DESJARLAIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,37693.75,10453.35
D000616,2017 HON. SCOTT DESJARLAIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15847.57,5422.32
D000616,2017 HON. SCOTT DESJARLAIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4499.93,1536.48
D000616,2017 HON. SCOTT DESJARLAIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,798651.48,274866.96
D000616,2017 HON. SCOTT DESJARLAIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,798651.48,274866.96
D000610,2017 HON. THEODORE E. DEUTCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,14281.18,12921.85
D000610,2017 HON. THEODORE E. DEUTCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,816524.49,273555.24
D000610,2017 HON. THEODORE E. DEUTCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,19307.13,4921.18
D000610,2017 HON. THEODORE E. DEUTCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,49762.59,18616.71
D000610,2017 HON. THEODORE E. DEUTCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,20458.05,18408.96
D000610,2017 HON. THEODORE E. DEUTCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19269.24,6405
D000610,2017 HON. THEODORE E. DEUTCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,22824.41,4359.61
D000610,2017 HON. THEODORE E. DEUTCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3204.03,1260.03
D000610,2017 HON. THEODORE E. DEUTCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,965631.12,340448.58
D000610,2017 HON. THEODORE E. DEUTCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,965631.12,340448.58
D000600,2017 HON. MARIO DIAZ-BALART,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,21330.75,17253.65
D000600,2017 HON. MARIO DIAZ-BALART,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,636583.25,216333.31
D000600,2017 HON. MARIO DIAZ-BALART,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,48088.99,13519.08
D000600,2017 HON. MARIO DIAZ-BALART,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,112715.6,34376.69
D000600,2017 HON. MARIO DIAZ-BALART,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,9837.02,9668.58
D000600,2017 HON. MARIO DIAZ-BALART,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33651.64,10469.94
D000600,2017 HON. MARIO DIAZ-BALART,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15337.22,4613.06
D000600,2017 HON. MARIO DIAZ-BALART,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2267.46,755.82
D000600,2017 HON. MARIO DIAZ-BALART,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,879811.93,306990.13
D000600,2017 HON. MARIO DIAZ-BALART,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,879811.93,306990.13
D000624,2017 HON. DEBBIE DINGELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-269.17,31.77
D000624,2017 HON. DEBBIE DINGELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,666326.17,223208.57
D000624,2017 HON. DEBBIE DINGELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24610.5,7725.46
D000624,2017 HON. DEBBIE DINGELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,106977.32,43987.54
D000624,2017 HON. DEBBIE DINGELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6496.9,5611.5
D000624,2017 HON. DEBBIE DINGELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,16787.76,5646.24
D000624,2017 HON. DEBBIE DINGELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5872.52,2810.47
D000624,2017 HON. DEBBIE DINGELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2871,957
D000624,2017 HON. DEBBIE DINGELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,829673,289978.55
D000624,2017 HON. DEBBIE DINGELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,829673,289978.55
D000399,2017 HON. LLOYD DOGGETT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,18591.91,6874.27
D000399,2017 HON. LLOYD DOGGETT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,618379.55,210098.6
D000399,2017 HON. LLOYD DOGGETT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14934.09,5223.8
D000399,2017 HON. LLOYD DOGGETT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,96324.74,31624.73
D000399,2017 HON. LLOYD DOGGETT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,12199.88,3924.63
D000399,2017 HON. LLOYD DOGGETT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,39787.32,13207.6
D000399,2017 HON. LLOYD DOGGETT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9778.37,1879.15
D000399,2017 HON. LLOYD DOGGETT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4703.02,1740.21
D000399,2017 HON. LLOYD DOGGETT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,814698.88,274572.99
D000399,2017 HON. LLOYD DOGGETT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,814698.88,274572.99
D000625,2017 HON. DANIEL M. DONOVAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,8298.24,3657.65
D000625,2017 HON. DANIEL M. DONOVAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,694831.05,237005.55
D000625,2017 HON. DANIEL M. DONOVAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,40095.57,11424.39
D000625,2017 HON. DANIEL M. DONOVAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,89081.91,30424.9
D000625,2017 HON. DANIEL M. DONOVAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2195.43,546.1
D000625,2017 HON. DANIEL M. DONOVAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33287.98,11367.58
D000625,2017 HON. DANIEL M. DONOVAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17226.1,2148.04
D000625,2017 HON. DANIEL M. DONOVAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,18388.01,4706.25
D000625,2017 HON. DANIEL M. DONOVAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,903404.29,301280.46
D000625,2017 HON. DANIEL M. DONOVAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,903404.29,301280.46
D000482,2017 HON. MICHAEL F. DOYLE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2906.79,1045.12
D000482,2017 HON. MICHAEL F. DOYLE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,734583.87,250352.79
D000482,2017 HON. MICHAEL F. DOYLE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,11968.44,3807.76
D000482,2017 HON. MICHAEL F. DOYLE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,78870.22,27542.16
D000482,2017 HON. MICHAEL F. DOYLE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2440.87,2050.07
D000482,2017 HON. MICHAEL F. DOYLE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,30414,10005
D000482,2017 HON. MICHAEL F. DOYLE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14044.13,1526.24
D000482,2017 HON. MICHAEL F. DOYLE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6416.73,2138.91
D000482,2017 HON. MICHAEL F. DOYLE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,881645.05,298468.05
D000482,2017 HON. MICHAEL F. DOYLE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,881645.05,298468.05
D000614,2017 HON. SEAN P. DUFFY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,5707.34,1498.54
D000614,2017 HON. SEAN P. DUFFY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,604047.61,212727.75
D000614,2017 HON. SEAN P. DUFFY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,44964.63,25876.16
D000614,2017 HON. SEAN P. DUFFY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,69477.14,23510.25
D000614,2017 HON. SEAN P. DUFFY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5360.96,1602.07
D000614,2017 HON. SEAN P. DUFFY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,44083.61,13372.11
D000614,2017 HON. SEAN P. DUFFY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14654.94,4926.25
D000614,2017 HON. SEAN P. DUFFY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7091.76,3051.21
D000614,2017 HON. SEAN P. DUFFY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,795387.99,286564.34
D000614,2017 HON. SEAN P. DUFFY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,795387.99,286564.34
D000615,2017 HON. JEFF DUNCAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2107.94,643.59
D000615,2017 HON. JEFF DUNCAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,691002.04,238201.48
D000615,2017 HON. JEFF DUNCAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,58200.99,15431.58
D000615,2017 HON. JEFF DUNCAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,41654.21,13240.79
D000615,2017 HON. JEFF DUNCAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1059.88,129.8
D000615,2017 HON. JEFF DUNCAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32397,10752
D000615,2017 HON. JEFF DUNCAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4020.13,1268.73
D000615,2017 HON. JEFF DUNCAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1470,225
D000615,2017 HON. JEFF DUNCAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,831912.19,279892.97
D000615,2017 HON. JEFF DUNCAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,831912.19,279892.97
D000533,2017 HON. JOHN J. DUNCAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,99340.99,49816
D000533,2017 HON. JOHN J. DUNCAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,628069.8,216258.36
D000533,2017 HON. JOHN J. DUNCAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,22920.1,6715.56
D000533,2017 HON. JOHN J. DUNCAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,60073.42,20856.7
D000533,2017 HON. JOHN J. DUNCAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2615.47,1830.82
D000533,2017 HON. JOHN J. DUNCAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34477.74,11436.78
D000533,2017 HON. JOHN J. DUNCAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13343.12,5306.84
D000533,2017 HON. JOHN J. DUNCAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2011.5,670.5
D000533,2017 HON. JOHN J. DUNCAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,862852.14,312891.56
D000533,2017 HON. JOHN J. DUNCAN  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,862852.14,312891.56
D000628,2017 HON. NEAL P. DUNN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2242.2,929.01
D000628,2017 HON. NEAL P. DUNN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,600740.73,207519.38
D000628,2017 HON. NEAL P. DUNN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,51371.36,18883.95
D000628,2017 HON. NEAL P. DUNN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,46925.97,16648.45
D000628,2017 HON. NEAL P. DUNN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5481.63,1631.84
D000628,2017 HON. NEAL P. DUNN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31150,10350
D000628,2017 HON. NEAL P. DUNN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14265.84,4039
D000628,2017 HON. NEAL P. DUNN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11539.69,1646.91
D000628,2017 HON. NEAL P. DUNN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,763717.42,261648.54
D000628,2017 HON. NEAL P. DUNN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,763717.42,261648.54
E000288,2017 HON. KEITH ELLISON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,106.29,55.85
E000288,2017 HON. KEITH ELLISON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,810718.34,277612.46
E000288,2017 HON. KEITH ELLISON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,25472.26,19024.61
E000288,2017 HON. KEITH ELLISON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,51713.07,18383.51
E000288,2017 HON. KEITH ELLISON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,973.04,352.93
E000288,2017 HON. KEITH ELLISON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,36195.55,11147.9
E000288,2017 HON. KEITH ELLISON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6310.82,2005.11
E000288,2017 HON. KEITH ELLISON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3759.59,552.18
E000288,2017 HON. KEITH ELLISON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,935248.96,329134.55
E000288,2017 HON. KEITH ELLISON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,935248.96,329134.55
E000294,2017 HON. TOM EMMER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3975.1,537.37
E000294,2017 HON. TOM EMMER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,676586.15,227144.47
E000294,2017 HON. TOM EMMER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,55190.17,24122.29
E000294,2017 HON. TOM EMMER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,59528.28,20476.58
E000294,2017 HON. TOM EMMER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3198.59,1412.56
E000294,2017 HON. TOM EMMER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32652.75,10718.24
E000294,2017 HON. TOM EMMER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,28558.17,1523.49
E000294,2017 HON. TOM EMMER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,12311.08,8182.66
E000294,2017 HON. TOM EMMER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,872000.29,294117.66
E000294,2017 HON. TOM EMMER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,872000.29,294117.66
E000179,2017 HON. ELIOT L. ENGEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4624.87,1807.04
E000179,2017 HON. ELIOT L. ENGEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,610905.1,204454.22
E000179,2017 HON. ELIOT L. ENGEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9772.35,3164.51
E000179,2017 HON. ELIOT L. ENGEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,98512.09,33299.21
E000179,2017 HON. ELIOT L. ENGEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6952.55,6878.95
E000179,2017 HON. ELIOT L. ENGEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23130,7710
E000179,2017 HON. ELIOT L. ENGEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3002.11,2167.98
E000179,2017 HON. ELIOT L. ENGEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1635.75,545.25
E000179,2017 HON. ELIOT L. ENGEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,758534.82,260027.16
E000179,2017 HON. ELIOT L. ENGEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,758534.82,260027.16
E000215,2017 HON. ANNA G. ESHOO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4119.31,1188.26
E000215,2017 HON. ANNA G. ESHOO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,729804.23,242007.02
E000215,2017 HON. ANNA G. ESHOO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,43157.91,13383.54
E000215,2017 HON. ANNA G. ESHOO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,149544.89,45449.36
E000215,2017 HON. ANNA G. ESHOO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5315.82,99.08
E000215,2017 HON. ANNA G. ESHOO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21754.56,7080
E000215,2017 HON. ANNA G. ESHOO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4259.86,2530.8
